alpha_deg,U,Fx,Fy,D,L,CD,CL
-10.0,2.0,-0.04449702799320221,-0.03656566143035889,-0.037471457681139006,-0.043736974693250844,-0.018735728840569503,-0.021868487346625422
-5.0,2.0,-0.03883342444896698,-0.01374208927154541,-0.037487949547441106,-0.017074352424301782,-0.018743974773720553,-0.008537176212150891
0.0,2.0,-0.029829315841197968,0.01949024200439453,-0.029829315841197968,0.01949024200439453,-0.014914657920598984,0.009745121002197266
5.0,2.0,-0.037202589213848114,0.06033879518508911,-0.03180214961926539,0.06335160714769847,-0.015901074809632695,0.031675803573849234
10.0,2.0,-0.09532292932271957,0.18587708473205566,-0.061597542803085915,0.1996058471181994,-0.030798771401542958,0.0998029235590997
15.0,2.0,-0.5120416283607483,1.6555174589157104,-0.06611478510164004,1.731633194744205,-0.03305739255082002,0.8658165973721025
