alpha_deg,U,Fx,Fy,D,L,CD,CL
-10.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-4.350005825422206e-05,-4.887960945520535e-05,-2.175002912711103e-05,-2.4439804727602674e-05
-5.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-4.759466606682197e-05,-4.4902327897357607e-05,-2.3797333033410984e-05,-2.2451163948678803e-05
0.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-5.132704973220825e-05,-4.058331251144409e-05,-2.5663524866104126e-05,-2.0291656255722046e-05
5.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-5.4668803557012446e-05,-3.59554336124444e-05,-2.7334401778506223e-05,-1.79777168062222e-05
10.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-5.7594494776821664e-05,-3.1053912153169615e-05,-2.8797247388410832e-05,-1.5526956076584808e-05
15.0,2.0,-5.132704973220825e-05,-4.058331251144409e-05,-6.0081857114872495e-05,-2.5916051671544387e-05,-3.0040928557436247e-05,-1.2958025835772193e-05
