step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.98802947998047,0.04232045263051987,0.001140197622589767,0.17228171229362488,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.08866128325462341,0.0,0.017533649883299293,-0.03813853197020547,-0.000468784510991839,,0.05330371856689453
500,0.0434085875749588,0.0029939874075353146,0.0044175367802381516,2.3167582185124047e-05,0.00019961058569606394,0.0008818815695121884,9.56234143814072e-05,9.432880688109435e-06,0.0010282278526574373,0.000619351165369153,0.00024680368369445205,0.0,-0.000350245088659652,-0.00023776338543964731,5.913036209620817e-05,,27.34668779373169
1000,0.016915807500481606,0.00218256376683712,0.0014591000508517027,6.813884738221532e-06,1.0048290278064087e-05,0.00032059376826509833,7.430755795212463e-05,3.9671967044796475e-08,0.00044905036338604987,0.00040450930828228593,0.00012364239955786616,0.0,-0.00019416012411399198,8.210050950467916e-06,2.2157059261109988e-05,,54.58834505081177
1500,0.01553105004131794,0.002586977556347847,0.0008231928804889321,1.1810898286057636e-05,0.00011101382551714778,0.0002856245846487582,6.94382397341542e-05,2.30935597755888e-06,0.00020535505609586835,0.00023179835989139974,7.962773088365793e-05,0.0,-0.00027968816094600386,0.0001383197644773248,7.417086891064887e-06,,81.83283615112305
2000,0.029892142862081528,0.0029056931380182505,0.0007004511426202953,2.1732941604568623e-05,0.0007338658906519413,0.0005318354815244675,6.363203283399343e-05,3.4311644867557334e-06,0.0001418720930814743,7.980231021065265e-05,4.307984636398032e-05,0.0,-6.0555795405303925e-06,1.9153735790894837e-05,-7.281720504131659e-07,,109.21193528175354
2500,0.02386205829679966,0.002629445865750313,0.0006142882630228996,2.7463562219054438e-05,0.0005809579160995781,0.0003242061648052186,5.8138837630394846e-05,4.1135881474474445e-06,0.0002802111266646534,0.0002215918939327821,5.713052087230608e-05,0.0,-0.0007497942182377738,9.482200006915442e-05,5.659147325638193e-05,,136.60539889335632
3000,0.029630590230226517,0.00244475482031703,0.0004743610043078661,1.2687612979789265e-05,4.3896384340769146e-06,0.00025513715809211135,0.0004395337891764939,3.036410134882317e-06,0.00026736428844742477,0.00017515310901217163,3.4131662687286735e-05,0.0,0.000180322734890815,0.00018280323719707125,-2.9240039629369052e-05,,163.8524625301361
3500,0.04172855243086815,0.0021796347573399544,0.00045086588943377137,3.5753157135332e-05,0.0006259319488890469,0.0004281194705981761,0.00040154223097488284,6.567663604073459e-07,0.00022714538499712944,0.00016290706116706133,2.9728556910413317e-05,0.0,0.0006647719265414923,0.00011822488389322604,-5.7998644719267634e-05,,191.26548075675964
4000,0.008701741695404053,0.0025586485862731934,0.00037714693462476134,1.555631752125919e-05,4.030927357234759e-06,0.00018088587967213243,4.2763604142237455e-05,5.650945809065888e-07,0.00023519339447375387,0.00021545219351537526,3.678617940749973e-05,0.0,-0.0002026469734332611,0.00010901704141930209,1.925956195866947e-05,,218.4682743549347
4500,0.007033099886029959,0.0022890313994139433,0.00031599507201462984,1.5064028048072942e-05,1.4290237231762148e-05,0.00010163901606574655,3.3385938877472654e-05,4.6941957521084987e-07,0.00021836566156707704,0.00019976787734776735,2.0745606889249757e-05,0.0,-8.183324589705128e-05,6.981607497247771e-05,1.663990199122188e-05,,245.59618043899536
5000,0.007401538547128439,0.0022707602474838495,0.0002908112946897745,1.4074083082959987e-05,4.01198813051451e-05,8.391635492444038e-05,3.7155616155359894e-05,9.907474805004313e-07,0.00022383464965969324,0.00017090119945351034,1.782403705874458e-05,0.0,0.0002845873085007907,0.00011281409610315254,-1.3791515927702447e-05,,273.1154685020447
