alpha_deg,U,Fx,Fy,D,L,CD,CL
-10.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-2.1728705307229883e-05,-3.751304230106843e-05,-1.0864352653614941e-05,-1.8756521150534214e-05
-5.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-2.4915498087934322e-05,-3.5476512399619144e-05,-1.2457749043967161e-05,-1.7738256199809572e-05
0.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-2.7912668883800507e-05,-3.316998481750488e-05,-1.3956334441900253e-05,-1.658499240875244e-05
5.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-3.069740741533069e-05,-3.061101362234498e-05,-1.5348703707665344e-05,-1.530550681117249e-05
10.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-3.324852014082882e-05,-2.781907413008365e-05,-1.662426007041441e-05,-1.3909537065041824e-05
15.0,2.0,-2.7912668883800507e-05,-3.316998481750488e-05,-3.55465915520499e-05,-2.4815414686076163e-05,-1.777329577602495e-05,-1.2407707343038082e-05
