alpha_deg,U,Fx,Fy,D,L,CD,CL
-15.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-2.535878739230153e-05,-5.545876160039062e-05,-1.2679393696150765e-05,-2.772938080019531e-05
-10.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-3.0095839109393933e-05,-5.303756031868723e-05,-1.5047919554696967e-05,-2.6518780159343614e-05
-5.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-3.460384331849935e-05,-5.021271117800412e-05,-1.7301921659249675e-05,-2.510635558900206e-05
0.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-3.884849138557911e-05,-4.700571298599243e-05,-1.9424245692789555e-05,-2.3502856492996216e-05
5.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-4.279747897585417e-05,-4.3440972935331825e-05,-2.1398739487927084e-05,-2.1720486467665913e-05
10.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-4.6420751909298624e-05,-3.954562085025672e-05,-2.3210375954649312e-05,-1.977281042512836e-05
15.0,2.0,-3.884849138557911e-05,-4.700571298599243e-05,-4.969073489109697e-05,-3.534930271221244e-05,-2.4845367445548486e-05,-1.767465135610622e-05
