epoch,train_loss,train_mae,val_loss,val_mae,lr,time_sec
1,2.4469044719423567,0.752529399735587,2.007784128189087,0.691910445690155,0.0019999987786367066,0.7998192310333252
2,2.1644829341343472,0.7080369762011937,1.89485764503479,0.6497415900230408,0.0019999951145498397,0.9242818355560303
3,2.0579284770148143,0.6509243760790143,1.9619191884994507,0.7122326493263245,0.00199998900774844,1.1972479820251465
4,1.9353264570236206,0.6226148520197187,1.7161140441894531,0.5855099558830261,0.0019999804582475755,1.3259494304656982
5,1.7727457284927368,0.5740702748298645,1.6869298219680786,0.5664812326431274,0.001999969466068342,1.44620943069458
6,1.7297628777367728,0.5429404548236302,1.647916316986084,0.5367635488510132,0.00199995603123786,1.564743995666504
7,1.7432252168655396,0.5258423217705318,1.6408061981201172,0.5276890993118286,0.0019999401537892803,1.8438842296600342
8,1.7048293522426061,0.5079683022839683,1.6190617084503174,0.5010397434234619,0.001999921833761778,1.9802429676055908
9,1.6649048498698644,0.48306182452610563,1.5929025411605835,0.5042492151260376,0.001999901071200556,2.113762140274048
10,1.664506929261344,0.4804397523403168,1.6086019277572632,0.4792855381965637,0.001999877866156844,2.39235520362854
11,1.624187980379377,0.480594060250691,1.5745577812194824,0.40722551941871643,0.001999852218687898,2.5148494243621826
12,1.6511708498001099,0.43691799896103994,1.6219793558120728,0.5230376720428467,0.0019998241288570005,2.6390819549560547
13,1.5926284790039062,0.4797434891973223,1.5284315347671509,0.4262004494667053,0.001999793596733461,2.778602123260498
14,1.5984800032206945,0.41063128624643597,1.5446791648864746,0.4643610119819641,0.001999760622392614,2.9250552654266357
15,1.6029866933822632,0.45146109802382334,1.534066081047058,0.430658221244812,0.0019997252059158204,3.2134299278259277
16,1.5820151226861137,0.41117299454552786,1.5439355373382568,0.455333411693573,0.0019996873473904666,3.353006362915039
17,1.5835462808609009,0.42778927087783813,1.4907654523849487,0.4130551815032959,0.0019996470469099653,3.4933204650878906
18,1.5018552712031774,0.41123258216040476,1.42599356174469,0.40917059779167175,0.0019996043045737537,3.636315107345581
19,1.4609759109360831,0.3862340918609074,1.4161890745162964,0.451336145401001,0.0019995591204872943,3.7807939052581787
20,1.4225076607295446,0.4192441276141575,1.3251234292984009,0.3911572992801666,0.001999511494762074,4.0749266147613525
21,1.4316877467291695,0.3970193990639278,1.4142359495162964,0.4197770655155182,0.0019994614275156046,4.222232341766357
22,1.4676600354058402,0.4098812895161765,1.3480334281921387,0.42182642221450806,0.001999408918871423,4.361861944198608
23,1.4326785462243217,0.38515743613243103,1.2996444702148438,0.3908024728298187,0.0019993539689590876,4.501960039138794
24,1.3040134736469813,0.3772332753453936,1.2664422988891602,0.3493320941925049,0.001999296577914183,4.790687561035156
25,1.2363500339644296,0.3522866538592747,1.5148807764053345,0.4147602319717407,0.0019992367458783154,4.937921047210693
26,1.2859784024102348,0.37656709126063753,1.3400894403457642,0.3856125473976135,0.001999174472999114,5.078025817871094
