step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.81070327758789,0.04232001304626465,0.001140197622589767,0.1722813844680786,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.0,0.0,0.01729148408309443,-0.037003264754204866,-0.0004771269774259332,,0.05176043510437012
500,0.038263287395238876,0.0030950610525906086,0.004506041761487722,2.2006955987308174e-05,3.4498651075409725e-05,0.0006940544117242098,9.571938426233828e-05,1.4592665138479788e-06,0.0010453853756189346,0.0006404838059097528,0.0,0.0,-0.00032702401780413694,-0.00026528041092096214,6.727030305964457e-05,,26.65016460418701
1000,0.028523758053779602,0.0021982728503644466,0.001434163423255086,7.6180613177712075e-06,6.0532802308443934e-05,0.0004353158874437213,0.0002702396595850587,2.689163011382334e-06,0.0004839753673877567,0.00043789722258225083,0.0,0.0,-0.00018496821895727693,-6.863917671795604e-05,1.9646498045183987e-05,,53.287293434143066
1500,0.01254940964281559,0.002619121689349413,0.0007508896524086595,1.358969348075334e-05,1.2837766917073168e-05,0.00024201588530559093,6.726048013661057e-05,5.761021437677982e-09,0.00020606232283171266,0.00021357001969590783,0.0,0.0,-0.0002083402657665323,-3.1747033102447574e-05,1.2617684000740086e-05,,80.1453149318695
2000,0.011946897953748703,0.0030086967162787914,0.0006752150366082788,1.3765533367404714e-05,6.856110303488094e-06,0.00017846807895693928,7.004803774179891e-05,2.6619969162311463e-07,0.00013289644266478717,4.981447636964731e-05,0.0,0.0,-8.622640206265366e-05,-0.00012688195677612395,9.085276842320592e-06,,106.89795351028442
2500,0.009853806346654892,0.002705043414607644,0.0005089410115033388,1.6063697330537252e-05,2.0185882021905854e-05,0.00015123726916499436,5.05340940435417e-05,6.259859901547316e-07,0.0002452800399623811,0.00015528553922194988,0.0,0.0,-8.333253530836496e-05,-0.00011735845315706917,1.7869738251545184e-05,,133.70264387130737
3000,0.009114503860473633,0.0026290160603821278,0.0004883345682173967,1.632550629437901e-05,1.7192964151035994e-05,0.00012476180563680828,4.576936044031754e-05,6.132817702564353e-07,0.0002847625291906297,0.00011520650878082961,0.0,0.0,0.00049140593259317,-6.77524530435495e-05,-3.665623057423975e-05,,160.4355330467224
3500,0.00810237042605877,0.0024011111818253994,0.0003533478593453765,7.303629536181688e-05,2.446118514853879e-06,0.00010101488442160189,4.289366552256979e-05,4.0188905359173077e-07,0.00026329595129936934,8.573222294216976e-05,0.0,0.0,0.0011211533466811056,-2.9377854542122028e-05,-8.066558800303748e-05,,185.41075944900513
4000,0.00789337232708931,0.002599318278953433,0.0003546802909113467,1.539399272587616e-05,2.4920791474869475e-05,0.00010435986041557044,3.6474761145655066e-05,9.6002383997984e-07,0.00021195795852690935,0.00015251137665472925,0.0,0.0,0.00015897198653844959,-0.00013184840862720984,3.3062067664440392e-06,,211.89008235931396
4500,0.0065416134893894196,0.002351845148950815,0.0003015787515323609,1.468898517487105e-05,4.786212230101228e-06,7.515545439673588e-05,3.374810330569744e-05,3.009381828178448e-07,0.0002160673902835697,0.0001872950524557382,0.0,0.0,-3.6723396483795537e-05,-0.00016521962136841614,1.855434749315106e-05,,238.58168959617615
5000,0.009190906770527363,0.002323572523891926,0.00027311124722473323,0.0003024578036274761,3.8861062421347015e-06,8.215766865760088e-05,3.153108264086768e-05,1.3469269788402016e-06,0.0003590139385778457,0.0006039022700861096,0.0,0.0,-0.0027157827820633498,-0.0003540892580312743,0.00023857958082686669,,265.30621814727783
