alpha_deg,U,Fx,Fy,D,L,CD,CL
-15.0,2.0,-0.05420190095901489,-0.06202012300491333,-0.03630302695700216,-0.0739353228090242,-0.01815151347850108,-0.0369676614045121
-10.0,2.0,-0.05290537327528,-0.028901517391204834,-0.0470829259507088,-0.037649360058716774,-0.0235414629753544,-0.018824680029358387
-5.0,2.0,-0.04545889049768448,-0.010252237319946289,-0.044392364336481326,-0.014175227827518972,-0.022196182168240663,-0.007087613913759486
0.0,2.0,-0.03861461207270622,0.028700590133666992,-0.03861461207270622,0.028700590133666992,-0.01930730603635311,0.014350295066833496
5.0,2.0,-0.050957050174474716,0.0931820273399353,-0.04264179441066211,0.09726864114966965,-0.021320897205331056,0.04863432057483483
10.0,2.0,-0.136170893907547,0.330360472202301,-0.07673565808363896,0.3489873818919225,-0.03836782904181948,0.17449369094596126
15.0,2.0,-0.5255320072174072,1.7065503597259521,-0.06593720378919254,1.7844187586010174,-0.03296860189459627,0.8922093793005087
