epoch,train_loss,train_mae,val_loss,val_mae,lr,time_sec
1,2.516959718295506,0.7291724170957293,2.080122470855713,0.7115702629089355,0.0009999993893183533,0.8135592937469482
2,2.268799662590027,0.7375391040529523,1.9255890846252441,0.6572916507720947,0.0009999975572749199,0.9602923393249512
3,2.1147001811436246,0.6637282712118966,1.852379560470581,0.6948609948158264,0.00099999450387422,1.2029364109039307
4,2.0172472511019026,0.6864112019538879,1.783953070640564,0.6281468272209167,0.0009999902291237877,1.3475191593170166
5,1.9399781227111816,0.632770700114114,1.7937934398651123,0.6156874299049377,0.000999984733034171,1.4874985218048096
6,1.8292243310383387,0.6060287356376648,1.7373571395874023,0.5773487091064453,0.00099997801561893,1.6290888786315918
7,1.8217375448771886,0.5844534890992301,1.6862740516662598,0.5492614507675171,0.0009999700768946402,1.8774383068084717
8,1.7808620248522078,0.5297844750540597,1.623734951019287,0.5248106122016907,0.000999960916880889,2.0245704650878906
9,1.73753023147583,0.5368572643824986,1.6396862268447876,0.5349869728088379,0.000999950535600278,2.1719789505004883
10,1.7366121326174055,0.5138056150504521,1.5905637741088867,0.48512691259384155,0.000999938933078422,2.4153494834899902
11,1.714266232081822,0.4916844666004181,1.582907795906067,0.4950335621833801,0.000999926109343949,2.5602810382843018
12,1.6755327837807792,0.49022604312215534,1.5738743543624878,0.49561619758605957,0.0009999120644285002,2.6948235034942627
13,1.631181308201381,0.4849996268749237,1.5543206930160522,0.4686819911003113,0.0009998967983667305,2.823188543319702
14,1.6540830816541399,0.4626260782991137,1.547900676727295,0.47373688220977783,0.000999880311196307,2.9375030994415283
15,1.6599129778998238,0.46795171924999784,1.5408252477645874,0.4833695590496063,0.0009998626029579102,3.161794662475586
16,1.6211965084075928,0.4783263717378889,1.5394096374511719,0.4610668420791626,0.0009998436736952333,3.2893950939178467
17,1.6216063073703222,0.4584639072418213,1.5647526979446411,0.4653700590133667,0.0009998235234549826,3.4171335697174072
18,1.6473660979952132,0.4676585963794163,1.5322855710983276,0.45236971974372864,0.0009998021522868768,3.542267084121704
19,1.61278578213283,0.45355543068477083,1.5268601179122925,0.46531471610069275,0.0009997795602436472,3.6747214794158936
20,1.6283414023263114,0.43112159626824514,1.510515570640564,0.46947523951530457,0.000999755747381037,3.899704933166504
21,1.5870070968355452,0.4575267348970686,1.5113554000854492,0.4393062889575958,0.0009997307137578023,4.02454948425293
